"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","ReadCount","Length"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","1","0"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","2","36"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","3","0"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","4","59"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","5","59"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","6","102"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","7","68"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","8","102"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","9","102"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","10","68"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","11","102"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","12","68"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","13","102"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","14","68"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","15","102"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","16","68"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","17","184"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","18","68"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","19","102"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","20","68"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","21","102"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","22","102"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","23","102"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","24","68"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","25","68"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","26","102"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","27","68"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","28","102"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","29","68"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","30","102"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","31","102"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","32","68"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","33","102"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","34","68"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","35","184"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","36","68"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","37","102"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","38","68"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","39","102"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","40","68"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","41","102"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","42","68"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","43","102"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","44","68"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","45","102"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","46","68"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","47","184"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","48","68"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","49","184"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","50","68"
"C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm\logs.txt","C:\Users\zzyxa\OneDrive\Desktop\Digital Forensics Autopsy\df-mod3-sdm","logs.txt","C","Microsoft.PowerShell.Core\FileSystem","51","102"
